idd,t1,pr1,f1,f2,f3,o_o,pw1,re,x1,x2,x1r,x2r,z,a1
C1,14,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,125,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,235,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,343,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,461,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,574,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,670,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,792,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,929,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1002,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1113,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1221,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1333,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1438,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1550,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1663,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1767,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1883,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,1993,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,2100,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,2210,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
C1,2317,0.0002,50,50,50,FALSE,400,0,0,0,71,16.7,2.32 - 40.9j,0
