idd,t1,pr1,f1,f2,f3,o_o,pw1,re,x1,x2,x1r,x2r,z,a1
C3,80,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,208,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,300,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,394,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,519,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,628,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,717,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,836,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,961,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1083,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1187,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1282,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1401,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1511,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1622,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1734,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1845,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,1954,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,2098,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,2227,0.0002,50,50,50,FALSE,0,0,48.6,30.8,48.6,30.8,4.78 - 73.0j,0
C3,2309,0.0002,50,50,50,FALSE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,2384,0.0002,50,50,50,FALSE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,2510,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,2620,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,2715,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,2827,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,2934,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3044,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3191,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3266,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3378,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3487,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3600,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3690,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3818,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,3926,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,4036,0.0002,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,4147,0.0003,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,4252,0.0003,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,4363,0.0003,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,4475,0.0004,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,4580,0.0004,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,4692,0.0004,50,50,50,TRUE,0,0,62,16.3,48.6,30.8,4.78 - 73.0j,0
C3,4801,0.0007,50,50,50,TRUE,0,0,62,16.3,62,16.3,4.78 - 73.0j,0
C3,4912,0.0007,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5020,0.0009,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5127,0.0009,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5236,0.0009,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5346,0.0013,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5457,0.0013,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5554,0.0013,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5699,0.0018,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5787,0.0018,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,5896,0.0018,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6009,0.0024,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6103,0.0024,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6217,0.0024,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6328,0.003,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6438,0.003,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6542,0.0035,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6695,0.0035,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6760,0.0035,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6876,0.0043,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,6968,0.0043,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,7098,0.0043,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,7201,0.0051,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,7316,0.0051,50,50,50,TRUE,0,0,62,16.3,62,16.3,2.92 - 37.4j,0
C3,7435,0.0051,50,50,50,TRUE,250,196.028,62,16.3,62,16.3,2.92 - 37.4j,0
C3,7536,0.006,50,50,50,TRUE,250,196.028,62,16.3,61.7,16.6,2.92 - 37.4j,0
C3,7648,0.006,50,50,50,TRUE,250,196.028,62,16.3,61.7,16.6,2.98 - 40.3j,159.39
C3,7758,0.007,50,50,50,TRUE,250,196.028,62,16.3,61.7,16.6,2.98 - 40.3j,159.39
C3,7880,0.007,50,50,50,TRUE,250,196.028,62,16.3,55.3,20.7,3.91 - 54.4j,159.39
C3,7977,0.007,50,50,50,TRUE,250,196.028,62,16.3,55.3,20.7,3.91 - 54.4j,159.8
C3,8098,0.0078,50,50,50,TRUE,250,196.028,62,16.3,55.3,20.7,3.91 - 54.4j,159.8
C3,8231,0.0078,50,50,50,TRUE,250,124.672,62,16.3,51.8,29.2,4.14 - 73.5j,159.8
C3,8307,0.0078,50,50,50,TRUE,250,110.528,62,16.3,51.8,29.2,4.14 - 73.5j,191.4
C3,8432,0.0089,50,50,50,TRUE,250,110.528,62,16.3,51.8,29.2,4.14 - 73.5j,191.4
C3,8567,0.0089,50,50,50,TRUE,250,63.112,62,16.3,66,28,2.57 - 72.3j,191.4
C3,8724,0.01,50,50,50,TRUE,250,50.752,62,16.3,66,28,2.57 - 72.3j,207
C3,8783,0.01,50,50,50,TRUE,250,8.596,62,16.3,92.3,26.5,2.57 - 72.3j,207
C3,8893,0.01,50,50,50,TRUE,250,5.1,62,16.3,92.3,26.5,0.00 + 0.00j,214.8
