idd,t1,pr1,f1,f2,f3,o_o,pw1,re,x1,x2,x1r,x2r,z,a1
C2,17,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,123,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,232,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,346,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,454,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,563,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,674,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,783,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,893,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,998,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1109,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1220,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1330,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1435,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1548,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1656,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1767,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1874,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,1983,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2092,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2202,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2315,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2425,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2534,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2654,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2753,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2859,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,2970,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3079,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3185,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3296,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3407,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3514,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3628,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3736,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3845,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,3954,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4065,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4170,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4283,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4394,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4499,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4608,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4720,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4829,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,4938,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5048,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5157,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5266,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5376,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5486,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5594,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5703,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5814,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,5925,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6034,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6155,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6250,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6358,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6467,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6579,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6690,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6796,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,6906,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,7017,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,7141,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,7236,0.0645,100,100,55,f,400,0,0,0,85,10,1.54 - 9.28j,0
C2,7343,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,7452,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,7565,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,7674,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,7780,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,7889,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,8004,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,8109,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,8217,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,8326,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
C2,8435,0.0645,100,100,55,t,0,0,85,10,85,10,1.54 - 9.28j,0
