,idd,pr1,f1,f2,f3,pw1,re,x1,x2,x1r,x2r,a1,time,TF
215,C2,0.0643,100,100,55,100,4.06,85,10,58.2,20.7,124.6,1088,255
302,C2,0.0644,100,100,55,100,3.396,75,15,59.9,20.4,125.6,875,255
487,C2,0.0641,100,100,55,100,5.204,55,25,66.8,20.2,123.4,1092,255
579,C2,0.0646,100,100,55,100,7.22,45,30,48.6,21.1,129.2,1205,255
671,C2,0.0647,100,100,55,100,2.724,35,35,71.8,19.8,123.2,1200,255
759,C2,0.0638,100,100,55,100,2.776,25,40,54.9,21.3,123.6,884,255
851,C2,0.0645,100,100,55,100,4.624,35,35,53.7,20.8,126.6,988,255
945,C2,0.0647,100,100,55,100,6.392,45,30,56.5,20.9,123.6,1200,255
1035,C2,0.0648,100.3,100.3,55,100,4.028,55,25,66.9,20.2,125.2,1090,255.6
1218,C2,0.0646,100,100,55,100,2.828,75,15,74.4,19.6,131.39,981,255
1310,C2,0.0646,100,100,55,100,4.272,85,10,50.3,21.3,131.39,1204,255
1403,C2,0.0571,100,90,55,200,6.78,85,10,54.9,21.2,127,1309,245
1490,C2,0.0555,100,90,55,200,8.316,75,15,58,21.1,123.2,765,245
1674,C2,0.0553,100,90,55,200,4.272,55,25,54.3,21.2,123.8,985,245
1768,C2,0.0556,100,90,55,200,6.728,45,30,57.8,21.1,123.2,1196,245
1857,C2,0.0557,100,90,55,200,4.116,35,35,57.7,21,126.2,877,245
1950,C2,0.0557,100,90,55,200,4.716,25,40,65.6,20.6,124.8,1095,245
2040,C2,0.0553,100,90,55,200,8.484,35,35,57.3,21.1,123.4,980,245
2133,C2,0.0556,100,90,55,200,11.084,45,30,68.8,20.4,123.2,1094,245
2223,C2,0.0557,100,90,55,200,5.728,55,25,46.3,22.3,123.4,876,245
2306,C2,0.0548,100,90,55,200,23.116,65,20,66.5,20.3,0,110,245
2404,C2,0.0554,100,90,55,200,8.428,75,15,53.5,21.3,127,786,245
2500,C2,0.0554,100,70,55,200,11.976,85,10,65,21.1,127.8,1215,225
2592,C2,0.0428,100,70,55,300,13.504,85,10,69.3,21.4,123.2,1313,225
2680,C2,0.0422,100,70,55,300,11.316,75,15,54.3,22.1,254,988,225
2765,C2,0.0423,100,70,55,300,50.092,65,20,65.7,21.3,127.8,233,225
2860,C2,0.0424,100,70,55,300,7.376,55,25,48.4,22.5,202.4,536,225
